UID,Project Code,Account Manager,Client,Project Name,Opp Status,Status,Decision,Final Amount,Encoded Date,Date Received,Client Deadline,Remarks
"df5e10e9-066d-424f-bb79-5b0ba4ab7af1","","JMO","URC SURE","SURE URSUMCO_S&amp;I Ten KWH Load Metering","","","DECLINE","","2025-09-15T16:00:00.000Z","2025-09-15T16:00:00.000Z","2025-09-15T16:00:00.000Z","16Sep RFQ by Sir Ching; 
16Sep declined by JEB  due to a lack of available manpower in the location."
"2a1a7a7d-5e9c-4510-b991-9d6c7ad9f00e","CMRP25090455","JMO","MEGAWIDE","MCC_Caticlan Airport SCADA Systrem","","Not Yet Started","","","2025-09-15T16:00:00.000Z","","","15Sep Heads up by MEGAWIDE Const. Corp (MCC) Procurement Supervisor Robert Alabania"
"6bbe7fa6-f7b6-49cb-b7f0-7f401f4b76da","CMRP25090454","JMO","URC BCFG","URC Cal 1_1 Additional Compressor SCADA Integration","OP30","Submitted","GO","481043.87","2025-09-15T16:00:00.000Z","2025-09-09T16:00:00.000Z","2025-09-14T16:00:00.000Z","RFP by Sir Elgin; 
15Sep Budgetary submitted by RJ"
"891693ec-a502-4df8-b3c1-44f609ef5a17","","CBD","ADF Real State Inc.","Viewtiful Ridge CCTV and FDAS","","No Decision Yet","Pending","","2025-09-15T16:00:00.000Z","2025-09-14T16:00:00.000Z","2025-09-18T16:00:00.000Z","For submission of NDA"
"43a83237-925d-4c81-9549-1e559a09cd40","","CBD","ADF Real State Inc.","Viewtiful Ridge BMS","","No Decision Yet","Pending","","2025-09-15T16:00:00.000Z","2025-09-14T16:00:00.000Z","2025-10-01T16:00:00.000Z","For submission of NDA"
"87428576-bc74-4600-b1e3-ed2ccba96e3a","","CBD","Meinhardt Philippines Inc.","BSP SCADA","","Not Yet Started","GO","","2025-09-15T16:00:00.000Z","2025-09-09T16:00:00.000Z","","Design stage"
"754a61c8-22d4-4b85-b05c-c0fb7d30ea54","CMRP25090456","JMO","URC BCFG","NURC Cavite_Illumination improvement at Production Areas","OP30","Submitted","GO","654000.00","2025-09-15T16:00:00.000Z","2025-08-27T16:00:00.000Z","2025-09-11T16:00:00.000Z","28Aug RFP Dexter w/ BoM & SoW; 
04Sep Ocular c/o Ariel dela Cruz;
16Sep Budgetary submitted"
"aa640110-4556-44b8-86e2-da3a73e697f0","","CBD","Megaworld","Cityfront Mall BMS PMS","","","DECLINE","","2025-09-14T16:00:00.000Z","2025-09-14T16:00:00.000Z","",""
"4521034b-85a4-40c9-93e4-9f1c2e131683","CMRP25090435","CBD","Grand Apex Construction Inc.","MRT7 Tunnel 200","OP30","Submitted","GO","4978650.18","2025-09-14T16:00:00.000Z","2025-08-21T16:00:00.000Z","",""
"7cc9c651-3560-4210-965a-2bcc24223970","","CBD","U2","MRT7 Station 12 EE &amp; FDAS","","Not Yet Started","Pending","","2025-09-14T16:00:00.000Z","","","Sep10 (company introduction)"
"0d39bd92-c824-4103-8c52-b814ea11ad17","CMRP25090431","CBD","Grand Apex Construction Inc.","MRT7 Tunnel 100","OP30","Submitted","GO","4206047.89","2025-09-14T16:00:00.000Z","2025-08-21T16:00:00.000Z","",""
"0e213efa-ad4d-4289-8848-664912a95801","","CBD","ACEN","SLTEC CCTV","","","DECLINE","","2025-09-14T16:00:00.000Z","2025-09-11T16:00:00.000Z","2025-09-14T16:00:00.000Z",""
"749b6ddc-13fb-43c2-ad74-dd9061ee4d6c","CMRP25090436","CBD","Grand Apex Construction Inc.","MRT7 Tunnel 300","OP30","Submitted","GO","6772309.54","2025-09-14T16:00:00.000Z","2025-08-21T16:00:00.000Z","",""
"ced8cf6f-5d39-4244-be0d-7726904ba880","","JMO","URC AIG","AIG UCP_Installation of CCTV System at LFM Area","","Not Yet Started","GO","","2025-09-12T16:00:00.000Z","2025-09-11T16:00:00.000Z","2025-09-25T16:00:00.000Z","11Sep ITB For 12Sep On-Line Pre-Bid; 
15 Sep for site Inspection by Ian:
16Sep Final Tender Docs received"
"66ecf473-1408-4dc8-a081-c57af9ab0c25","CMRP25080395","JMO","URC BCFG","URC Canlubang_Additional High Bay Lights - DC2","OP90","Submitted","GO","780000","2025-09-11T16:00:00.000Z","2025-08-31T16:00:00.000Z","2025-09-04T16:00:00.000Z","06Aug Site Pre-Bid by Ian: 
19Aug Budgetary; 
01Sep Mam Laiza RFQ new BoM; 
05Sep rev 2 offer submitted"
"385dd7e4-ddb5-49cc-9b24-a4a8318650c1","CMRP25090449","CBD","STMicroelectronics, Inc.","ST Micro SLM Audible Alarm at Production Area","","","Pending","0","2025-09-10T16:00:00.000Z","2025-09-10T16:00:00.000Z","2025-09-21T16:00:00.000Z","Sep15 (site inspection)"
"882bffc8-14a8-4f01-9fdd-1f063c84693c","","CBD","Megaworld","GrandWest Hotel Switches","","","DECLINE","","2025-09-10T16:00:00.000Z","2025-09-09T16:00:00.000Z","",""
"4e4177c8-34b1-49e2-a707-1415ba0d6642","CMRP25090447","TJC","Net Pacific Inc.","Netpac Globe STT Davao BMS PM Service","","Not Yet Started","GO","","2025-09-10T16:00:00.000Z","2025-09-08T16:00:00.000Z","",""
"0e6b34a4-825e-45f6-b5e8-e81cc71cd95b","CMRP25090448","CBD","STMicroelectronics, Inc.","ST Micro SLM CT Temperature Sensor and FMCS Integration","","No Decision Yet","Pending","","2025-09-10T16:00:00.000Z","2025-09-10T16:00:00.000Z","2025-09-21T16:00:00.000Z","Sep15 (site inspection)"
"74eb5d7d-f6cd-4765-a675-ad2a4b43ce8c","CMRP25090444","","URC BCFG","URC SP1_Addendum Relocation of AGLO Control Panels","","","","","2025-09-09T16:00:00.000Z","","","09Sep MAint. Mgr, Jim Balili RFQ for CSI of New Bldg"
"0621d11b-6e78-49b1-b4b7-c6da8c694ee5","CMRP25090443","","JX Metals","JX Metals TRCF1 Additional DIO Panel","","On-Going","","","2025-09-09T16:00:00.000Z","","",""
"6fc61ae3-ba23-45b4-83b7-8467fd6667ca","CMRP25090451","JMO","URC BCFG","URC SP1_Addendum Relocation of AGLO Control Panels","OP30","Submitted","GO","154844.11","2025-09-09T16:00:00.000Z","2025-09-09T16:00:00.000Z","2025-09-15T16:00:00.000Z","10Sep RFQ by Sir Norman: 12Sep Site Pre Bid c/o Sir Jon Batac, 
12Sep Site assessed w/ Arvin;
15Sep Arvin's Budgetary submitted"
"032dd7ed-9c97-4bab-a9dd-c783ddf0e09f","CMRP25090442","JMO","URC BCFG","URC ESMO_CSI of New Bldg.","","Not Yet Started","GO","","2025-09-08T16:00:00.000Z","2025-09-08T16:00:00.000Z","","09Sep MAint. Mgr, Jim Balili RFQ for CSI of New Bldg"
"59a5d4b8-425d-4690-a03c-66de01c2fd64","CMRP25090440","JMO","Universal Robina Corporation","URC San Pablo SCADA Power Monitoring","","Not Yet Started","GO","","2025-09-08T16:00:00.000Z","","",""
"c64a2347-6170-4fe7-bb44-62524de9ef37","","CBD","San Miguel Corporation","MRT7 Station 12 ACS","","On-Going","GO","","2025-09-08T16:00:00.000Z","2025-09-07T16:00:00.000Z","",""
"fc374497-a148-4761-825b-b59e7cc97351","","CBD","San Miguel Corporation","MRT7 Station 12 O&amp;M ACS","","On-Going","GO","","2025-09-08T16:00:00.000Z","2025-09-07T16:00:00.000Z","",""
